equipment_id,equipment_name,equipment_type,location,manufacturer,model,serial_number,installation_date,criticality,status
EQ001,Pompe centrifuge 01,Réducteur,Zone de conditionnement,Schneider,MOD-8369,SN479304,2016-03-05,Important,Arrêté
EQ002,Convoyeur 02,Réducteur,Ligne de production 2,Atlas Copco,MOD-6948,SN572714,2020-11-15,Critique,En service
EQ003,Presse hydraulique 03,Ventilateur,Salle des machines,Atlas Copco,MOD-2079,SN607917,2020-03-21,Important,En service
EQ004,Chaudière 04,Groupe électrogène,Ligne de production 1,Bosch Rexroth,MOD-7009,SN446690,2019-05-31,Important,En maintenance
EQ005,Presse hydraulique 05,Presse hydraulique,Atelier C,Grundfos,MOD-8319,SN962797,2019-08-11,Standard,En service
EQ006,Convoyeur 06,Groupe électrogène,Atelier B,Bosch Rexroth,MOD-6201,SN795052,2020-07-02,Important,En maintenance
EQ007,Presse hydraulique 07,Pompe centrifuge,Station de pompage,Atlas Copco,MOD-7264,SN479451,2019-09-19,Important,En service
EQ008,Convoyeur 08,Moteur électrique,Chaufferie,Atlas Copco,MOD-2120,SN795794,2021-12-05,Critique,En service
EQ009,Convoyeur 09,Réducteur,Ligne de production 1,Atlas Copco,MOD-6165,SN872176,2019-02-08,Important,En service
EQ010,Échangeur thermique 10,Convoyeur,Salle des machines,Bosch Rexroth,MOD-6928,SN792369,2021-11-27,Important,En service
EQ011,Chaudière 11,Transformateur,Atelier C,Siemens,MOD-4215,SN510394,2024-03-31,Standard,En maintenance
EQ012,Ventilateur 12,Robot industriel,Atelier C,Siemens,MOD-5275,SN297119,2017-06-24,Important,En maintenance
EQ013,Réducteur 13,Pompe centrifuge,Atelier C,Grundfos,MOD-6597,SN585639,2020-02-26,Critique,En maintenance
EQ014,Réducteur 14,Moteur électrique,Atelier B,ABB,MOD-8694,SN202122,2023-09-01,Critique,En service
EQ015,Ventilateur 15,Pompe centrifuge,Atelier C,Grundfos,MOD-8157,SN648484,2020-03-20,Standard,Arrêté
EQ016,Moteur électrique 16,Presse hydraulique,Salle des machines,Atlas Copco,MOD-3286,SN933957,2016-10-23,Standard,En service
EQ017,Échangeur thermique 17,Chaudière,Atelier B,Atlas Copco,MOD-7520,SN484660,2017-04-08,Standard,En maintenance
EQ018,Convoyeur 18,Convoyeur,Ligne de production 2,ABB,MOD-9833,SN313779,2020-05-20,Standard,En service
EQ019,Robot industriel 19,Transformateur,Ligne de production 2,Siemens,MOD-1731,SN901709,2021-07-11,Important,En service
EQ020,Groupe électrogène 20,Robot industriel,Zone de conditionnement,ABB,MOD-7449,SN414756,2016-03-03,Standard,En service
EQ021,Échangeur thermique 21,Transformateur,Ligne de production 1,ABB,MOD-6247,SN837140,2019-11-05,Critique,En service
EQ022,Échangeur thermique 22,Pompe centrifuge,Zone de stockage,Siemens,MOD-6969,SN476682,2019-12-27,Standard,En maintenance
EQ023,Robot industriel 23,Transformateur,Atelier B,Siemens,MOD-3470,SN494863,2021-02-16,Standard,En service
EQ024,Moteur électrique 24,Réducteur,Chaufferie,Atlas Copco,MOD-9038,SN937513,2020-09-22,Standard,En service
EQ025,Robot industriel 25,Moteur électrique,Zone de stockage,ABB,MOD-1332,SN421295,2022-11-01,Critique,En maintenance
EQ026,Transformateur 26,Robot industriel,Ligne de production 2,Schneider,MOD-2557,SN122844,2019-11-07,Important,En service
EQ027,Ventilateur 27,Moteur électrique,Atelier C,Schneider,MOD-1043,SN293274,2024-03-07,Important,En maintenance
EQ028,Robot industriel 28,Échangeur thermique,Ligne de production 2,Atlas Copco,MOD-6873,SN501252,2021-08-29,Standard,En service
EQ029,Presse hydraulique 29,Échangeur thermique,Ligne de production 2,Schneider,MOD-1984,SN189769,2022-02-06,Important,En service
EQ030,Pompe centrifuge 30,Presse hydraulique,Atelier A,Siemens,MOD-5955,SN279445,2017-11-23,Important,En maintenance
EQ031,Robot industriel 31,Groupe électrogène,Station de pompage,Atlas Copco,MOD-5695,SN341035,2017-10-07,Standard,Arrêté
EQ032,Compresseur 32,Pompe centrifuge,Zone de conditionnement,Bosch Rexroth,MOD-3633,SN439708,2016-01-21,Critique,En service
EQ033,Ventilateur 33,Ventilateur,Chaufferie,ABB,MOD-6906,SN665099,2019-05-06,Important,En service
EQ034,Presse hydraulique 34,Transformateur,Salle des machines,Grundfos,MOD-1991,SN203637,2016-06-08,Important,En service
EQ035,Transformateur 35,Compresseur,Atelier B,Schneider,MOD-6241,SN178904,2024-02-24,Critique,En service
EQ036,Échangeur thermique 36,Moteur électrique,Ligne de production 1,Grundfos,MOD-9264,SN754058,2016-05-19,Important,En service
